epoch,best_threshold,best_dice,best_iou,best_acc,best_acc_pixel
1,0.55,0.7680,0.6234,0.9067,0.9896
2,0.60,0.7742,0.6316,0.9414,0.9891
3,0.50,0.7712,0.6275,0.8891,0.9902
4,0.50,0.7680,0.6234,0.8788,0.9903
5,0.45,0.7998,0.6663,0.9044,0.9915
6,0.40,0.7581,0.6105,0.8569,0.9904
7,0.40,0.7784,0.6372,0.8699,0.9911
8,0.45,0.8054,0.6742,0.9096,0.9917
9,0.50,0.7950,0.6597,0.8982,0.9913
10,0.55,0.8002,0.6670,0.8950,0.9917
11,0.40,0.7822,0.6423,0.8690,0.9913
12,0.40,0.7857,0.6470,0.8674,0.9916
13,0.40,0.7948,0.6595,0.8866,0.9916
14,0.35,0.7949,0.6596,0.8842,0.9916
15,0.30,0.7730,0.6300,0.8694,0.9909
16,0.30,0.7485,0.5981,0.8538,0.9900
