epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.6035,1.4849,0.7563,0.6081,0.9297,0.9883,118.2063
2,1.4695,1.4160,0.7338,0.5795,0.9598,0.9858,49.1711
3,1.3986,1.3616,0.7712,0.6275,0.8891,0.9902,39.6773
4,1.3381,1.3224,0.7680,0.6234,0.8788,0.9903,39.6788
5,1.2844,1.2705,0.7979,0.6637,0.8928,0.9916,38.3704
6,1.2409,1.2380,0.7460,0.5949,0.8343,0.9904,43.4170
7,1.2037,1.1979,0.7657,0.6204,0.8495,0.9910,40.7481
8,1.1741,1.1559,0.8054,0.6742,0.9031,0.9918,36.8850
9,1.1485,1.1319,0.7950,0.6597,0.8982,0.9913,34.9470
10,1.1240,1.1102,0.8002,0.6669,0.9003,0.9916,39.3565
11,1.1025,1.1079,0.7763,0.6343,0.8572,0.9913,39.8878
12,1.0817,1.1242,0.7779,0.6365,0.8546,0.9915,38.1832
13,1.0609,1.0782,0.7917,0.6553,0.8764,0.9917,35.4807
14,1.0412,1.0384,0.7878,0.6499,0.8686,0.9916,39.7783
15,1.0222,1.0682,0.7613,0.6146,0.8440,0.9909,39.6926
16,1.0056,1.0507,0.7371,0.5837,0.8285,0.9901,41.0151
=== TEST(best_dice) Dice=0.7330 IoU=0.5785 Acc=0.9054 HD95=41.04 ===
[vis_teacher] saved 8 diagnostics to ./checkpoints_new/MDT-STS-teacher/2026-05-10_17-43-59/vis_best_dice
=== TEST(best_hd95) Dice=0.7222 IoU=0.5652 Acc=0.9041 HD95=45.69 ===
[vis_teacher] saved 8 diagnostics to ./checkpoints_new/MDT-STS-teacher/2026-05-10_17-43-59/vis_best_hd95
