epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.4248,1.3094,0.6170,0.4461,0.8494,0.9976,39.6866
2,1.2764,1.1891,0.6323,0.4623,0.9137,0.9973,31.5908
3,1.1353,1.0045,0.6463,0.4775,0.9396,0.9973,30.4114
4,0.9508,0.7713,0.6782,0.5130,0.9283,0.9977,33.0051
5,0.7570,0.6820,0.7291,0.5737,0.8504,0.9985,26.4472
6,0.5869,0.8222,0.7626,0.6163,0.8904,0.9986,25.5706
7,0.4609,0.6882,0.7686,0.6241,0.8924,0.9987,25.5118
8,0.3916,0.5002,0.7660,0.6208,0.8915,0.9987,20.7743
9,0.3521,0.4293,0.7670,0.6220,0.8704,0.9987,18.7948
10,0.3342,0.4041,0.7517,0.6022,0.8380,0.9987,18.1337
11,0.3214,0.3982,0.7632,0.6171,0.8531,0.9988,18.0712
12,0.3116,0.3836,0.7657,0.6204,0.8549,0.9988,17.2176
13,0.3034,0.3824,0.7671,0.6222,0.8594,0.9988,17.5825
14,0.2961,0.3904,0.7523,0.6029,0.8382,0.9987,18.4291
15,0.2891,0.3932,0.7457,0.5945,0.8288,0.9987,18.2756
16,0.2829,0.3833,0.7582,0.6105,0.8502,0.9987,18.3824
17,0.2797,0.3808,0.7597,0.6125,0.8571,0.9987,18.8494
