epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.8754,1.4683,0.4171,0.2635,0.8168,0.9950,127.0830
2,1.1728,1.0030,0.6093,0.4382,0.8094,0.9978,51.9195
3,0.9560,0.9300,0.4970,0.3306,0.8410,0.9961,53.5488
4,0.8806,0.8251,0.6847,0.5205,0.8254,0.9983,34.9930
5,0.8469,0.8449,0.6721,0.5061,0.7914,0.9984,35.3335
6,0.8269,0.7914,0.7036,0.5427,0.8504,0.9983,37.1035
7,0.8137,0.7835,0.7346,0.5805,0.8534,0.9986,29.5522
8,0.8027,0.7913,0.7045,0.5439,0.8372,0.9984,32.0104
9,0.7932,0.7957,0.7134,0.5545,0.8373,0.9985,29.3969
10,0.7877,0.7968,0.7125,0.5534,0.8228,0.9985,30.5245
11,0.7791,0.7664,0.7383,0.5851,0.8479,0.9986,29.0835
12,0.7714,0.7658,0.7147,0.5560,0.8604,0.9984,30.3398
13,0.7690,0.7799,0.7140,0.5552,0.8329,0.9985,30.3565
14,0.7629,0.7526,0.7444,0.5928,0.8651,0.9986,27.0921
15,0.7539,0.7701,0.7147,0.5561,0.8425,0.9985,27.2254
16,0.7520,0.7964,0.7202,0.5627,0.8320,0.9985,28.5455
17,0.7484,0.7678,0.7374,0.5841,0.8462,0.9986,27.5533
18,0.7425,0.7447,0.7461,0.5950,0.8532,0.9986,25.0582
19,0.7388,0.7776,0.7382,0.5850,0.8358,0.9987,25.5235
20,0.7328,0.7479,0.7408,0.5883,0.8567,0.9986,26.5719
21,0.7282,0.7728,0.7305,0.5754,0.8458,0.9986,28.2479
22,0.7245,0.7496,0.7388,0.5858,0.8542,0.9986,27.1442
23,0.7204,0.7636,0.7295,0.5742,0.8435,0.9986,27.0235
24,0.7170,0.7506,0.7377,0.5845,0.8485,0.9986,26.1216
25,0.7155,0.7472,0.7427,0.5907,0.8494,0.9986,25.4808
26,0.7087,0.7550,0.7286,0.5730,0.8566,0.9985,26.0533
