epoch,train_loss,val_loss,val_dice,val_iou
1,1.5612,0.7044,0.5367,0.3668
2,0.8882,0.4768,0.7200,0.5626
3,0.7320,0.4661,0.7407,0.5882
4,0.6705,0.4778,0.7415,0.5892
5,0.6369,0.4701,0.7578,0.6100
6,0.6081,0.4625,0.7614,0.6147
7,0.5906,0.4558,0.7502,0.6002
8,0.5767,0.4820,0.7516,0.6020
9,0.5687,0.4885,0.7562,0.6080
10,0.5596,0.5122,0.7556,0.6072
11,0.5521,0.4819,0.7697,0.6256
12,0.5450,0.4838,0.7613,0.6146
13,0.5422,0.4889,0.7600,0.6129
14,0.5339,0.4772,0.7611,0.6144
15,0.5302,0.5174,0.7509,0.6011
16,0.5279,0.5218,0.7503,0.6003
17,0.5230,0.5016,0.7624,0.6160
18,0.5206,0.5259,0.7521,0.6027
19,0.5185,0.5160,0.7569,0.6089
20,0.5133,0.5225,0.7561,0.6078
21,0.5108,0.5064,0.7618,0.6153
22,0.5103,0.5226,0.7575,0.6096
23,0.5068,0.5087,0.7566,0.6085
24,0.5050,0.4983,0.7628,0.6166
25,0.5016,0.4894,0.7673,0.6224
26,0.5005,0.5010,0.7663,0.6212
27,0.4994,0.5085,0.7629,0.6166
28,0.4963,0.5057,0.7670,0.6221
29,0.4967,0.5378,0.7544,0.6057
30,0.4939,0.4950,0.7580,0.6103
31,0.4929,0.5351,0.7512,0.6015
