epoch,train_loss,val_loss,val_dice,val_iou
1,4.6613,0.9161,0.5640,0.3928
2,2.0418,0.5134,0.7101,0.5505
3,0.9634,0.4090,0.7521,0.6027
4,0.7099,0.3836,0.7464,0.5954
5,0.5885,0.3861,0.7586,0.6111
6,0.5232,0.3721,0.7653,0.6198
7,0.4721,0.3908,0.7492,0.5989
8,0.4401,0.3897,0.7464,0.5954
9,0.4085,0.3966,0.7536,0.6047
10,0.3869,0.3834,0.7519,0.6025
11,0.3701,0.4040,0.7454,0.5941
12,0.3517,0.3885,0.7529,0.6037
13,0.3409,0.3900,0.7512,0.6015
14,0.3263,0.4076,0.7371,0.5836
15,0.3160,0.4019,0.7424,0.5903
16,0.3031,0.3910,0.7543,0.6056
17,0.2976,0.3943,0.7544,0.6057
18,0.2912,0.4037,0.7434,0.5916
19,0.2795,0.3964,0.7508,0.6010
20,0.2715,0.3983,0.7524,0.6031
21,0.2650,0.4028,0.7444,0.5928
