sample_name,case_id,image_id,feature_name,lesion_pixels,lesion_ratio,lesion_mean_activation,background_mean_activation,lesion_background_diff,lesion_background_ratio,pred_prob_on_lesion
000__0006__0006_001,0006,0006_001,ct1,41.0,0.000156402587890625,0.460610692094012,0.31561691634586403,0.14499377574814798,1.4593979860992583,1.4631872678675303e-05
000__0006__0006_001,0006,0006_001,pet1,41.0,0.000156402587890625,0.3328736002852277,0.45308616149948683,-0.1202125612142591,0.7346805719768263,1.4631872678675303e-05
000__0006__0006_001,0006,0006_001,ct2,41.0,0.000156402587890625,0.6093770469107279,0.933803337809945,-0.32442629089921704,0.6525753573979548,1.4631872678675303e-05
000__0006__0006_001,0006,0006_001,pet2,41.0,0.000156402587890625,0.751622455876048,0.6260754359927204,0.12554701988332762,1.2005301800161785,1.4631872678675303e-05
000__0006__0006_001,0006,0006_001,ct3,41.0,0.000156402587890625,0.16170715704196836,0.03048928477664315,0.13121787226532522,5.303737303993662,1.4631872678675303e-05
000__0006__0006_001,0006,0006_001,pet3,41.0,0.000156402587890625,0.02480902613663092,0.00968730435440695,0.015121721782223969,2.5609834510200757,1.4631872678675303e-05
000__0006__0006_001,0006,0006_001,ct4,41.0,0.000156402587890625,0.12835960853390577,0.30028551514099416,-0.1719259066070884,0.4274585421599061,1.4631872678675303e-05
000__0006__0006_001,0006,0006_001,pet4,41.0,0.000156402587890625,0.10323431433700933,0.1294889616391266,-0.026254647302117268,0.7972441282270339,1.4631872678675303e-05
001__0006__0006_018,0006,0006_018,ct1,647.0,0.002468109130859375,0.34262544847161175,0.33612004272515555,0.006505405746456194,1.0193544118753302,0.8752712149524247
001__0006__0006_018,0006,0006_018,pet1,647.0,0.002468109130859375,0.16739805478032627,0.48748638249195975,-0.3200883277116335,0.3433902172294776,0.8752712149524247
001__0006__0006_018,0006,0006_018,ct2,647.0,0.002468109130859375,0.6009250741100753,0.9399063373575988,-0.3389812632475234,0.6393456988485504,0.8752712149524247
001__0006__0006_018,0006,0006_018,pet2,647.0,0.002468109130859375,0.35687053037758404,0.8520747847967663,-0.4952042544191823,0.41882536221595085,0.8752712149524247
001__0006__0006_018,0006,0006_018,ct3,647.0,0.002468109130859375,0.35645446305665573,0.025849035791997613,0.33060542726465814,13.789855293829083,0.8752712149524247
001__0006__0006_018,0006,0006_018,pet3,647.0,0.002468109130859375,0.2970282482400744,0.011717537218698972,0.28531071102137545,25.349033905014913,0.8752712149524247
001__0006__0006_018,0006,0006_018,ct4,647.0,0.002468109130859375,0.21110338921524827,0.2721292273429523,-0.06102583812770404,0.7757468437934603,0.8752712149524247
001__0006__0006_018,0006,0006_018,pet4,647.0,0.002468109130859375,0.12846685819316317,0.12955987843550787,-0.0010930202423447,0.9915635900902086,0.8752712149524247
002__0006__0006_002,0006,0006_002,ct1,85.0,0.000324249267578125,0.35833996043485755,0.3087804177685178,0.04955954266633977,1.160500924976055,0.00011794818017412634
002__0006__0006_002,0006,0006_002,pet1,85.0,0.000324249267578125,0.27634667789234835,0.44027021944485784,-0.1639235415525095,0.6276751542286855,0.00011794818017412634
002__0006__0006_002,0006,0006_002,ct2,85.0,0.000324249267578125,0.5470265556784237,0.9295052593118344,-0.38247870363341063,0.5885136745578166,0.00011794818017412634
002__0006__0006_002,0006,0006_002,pet2,85.0,0.000324249267578125,0.7441829905790441,0.6133103017831862,0.1308726887958579,1.2133873969104194,0.00011794818017412634
002__0006__0006_002,0006,0006_002,ct3,85.0,0.000324249267578125,0.11483704062069164,0.029330346410541136,0.0855066942101505,3.9152977947583993,0.00011794818017412634
002__0006__0006_002,0006,0006_002,pet3,85.0,0.000324249267578125,0.07139471278471106,0.009941497102036182,0.06145321568267488,7.181485047165406,0.00011794818017412634
002__0006__0006_002,0006,0006_002,ct4,85.0,0.000324249267578125,0.17699479495777803,0.31689530077196354,-0.1399005058141855,0.5585276731040664,0.00011794818017412634
002__0006__0006_002,0006,0006_002,pet4,85.0,0.000324249267578125,0.10375175476074219,0.1302791964309564,-0.026527441670214202,0.7963800637634969,0.00011794818017412634
003__0006__0006_019,0006,0006_019,ct1,622.0,0.00237274169921875,0.3268094814092017,0.31555844847661,0.011251032932591665,1.0356543549599357,0.8862465616207797
003__0006__0006_019,0006,0006_019,pet1,622.0,0.00237274169921875,0.1574497529548081,0.48186081142313075,-0.32441105846832263,0.3267535961054708,0.8862465616207797
003__0006__0006_019,0006,0006_019,ct2,622.0,0.00237274169921875,0.5442646676704431,0.9346097077874902,-0.39034504011704707,0.5823443338277383,0.8862465616207797
003__0006__0006_019,0006,0006_019,pet2,622.0,0.00237274169921875,0.3670317229733973,0.8301106121091151,-0.46307888913571776,0.4421479711491175,0.8862465616207797
003__0006__0006_019,0006,0006_019,ct3,622.0,0.00237274169921875,0.41610389047113644,0.027314487329818334,0.3887894031413181,15.2338165987428,0.8862465616207797
003__0006__0006_019,0006,0006_019,pet3,622.0,0.00237274169921875,0.2985449787888113,0.014224153054343899,0.28432082573446743,20.988594375229884,0.8862465616207797
