epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.4678,1.3319,0.4663,0.3040,0.7098,0.9973,54.6155
2,1.2175,1.1224,0.5844,0.4128,0.8115,0.9975,42.8358
3,1.0535,0.9333,0.5685,0.3972,0.9199,0.9964,62.1830
4,0.8949,1.0846,0.6731,0.5073,0.8578,0.9980,33.5703
5,0.7169,0.9474,0.7073,0.5472,0.8648,0.9983,29.6407
6,0.5924,0.6896,0.7086,0.5487,0.8940,0.9982,30.7411
7,0.5224,0.5708,0.7281,0.5724,0.8872,0.9984,27.6932
8,0.4921,0.5147,0.7503,0.6003,0.8765,0.9986,23.3753
9,0.4757,0.5030,0.7578,0.6100,0.8643,0.9987,22.2001
10,0.4622,0.5004,0.7575,0.6097,0.8586,0.9987,21.7101
11,0.4540,0.4969,0.7611,0.6143,0.8608,0.9987,21.3248
12,0.4444,0.4943,0.7637,0.6177,0.8632,0.9987,21.0008
13,0.4377,0.5002,0.7572,0.6093,0.8488,0.9987,21.4041
