epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm
1,1.3451,1.2093,0.5483,0.3777,0.8964,0.9962,46.4229,0.00002667,1.581111
2,1.1326,1.0388,0.5676,0.3963,0.8913,0.9966,33.8681,0.00005333,inf
3,0.9511,0.8976,0.6404,0.4710,0.8680,0.9976,38.3258,0.00008000,0.693599
4,0.7092,0.6208,0.6860,0.5221,0.8562,0.9981,27.1822,0.00007987,0.937463
5,0.4965,0.5176,0.6879,0.5243,0.8357,0.9982,25.8422,0.00007949,inf
6,0.3734,0.4777,0.6986,0.5368,0.8222,0.9984,27.1456,0.00007887,inf
7,0.3190,0.4689,0.7048,0.5442,0.8268,0.9984,28.0210,0.00007799,1.338260
8,0.2924,0.4664,0.7071,0.5469,0.8157,0.9985,26.5956,0.00007688,1.447622
9,0.2725,0.4521,0.7121,0.5529,0.8345,0.9984,29.3399,0.00007553,inf
10,0.2608,0.4682,0.7100,0.5504,0.8202,0.9985,27.4765,0.00007396,1.405091
11,0.2505,0.4586,0.7110,0.5516,0.8161,0.9985,25.4430,0.00007217,inf
12,0.2432,0.4492,0.7225,0.5655,0.8266,0.9986,25.4156,0.00007018,inf
13,0.2363,0.4501,0.7275,0.5717,0.8349,0.9986,25.3292,0.00006800,1.251159
14,0.2305,0.4658,0.7137,0.5548,0.8161,0.9985,27.3042,0.00006564,1.245992
15,0.2258,0.4541,0.7251,0.5687,0.8326,0.9985,25.0900,0.00006312,inf
16,0.2217,0.4706,0.7167,0.5585,0.8094,0.9986,25.6488,0.00006046,1.223048
17,0.2161,0.4490,0.7301,0.5749,0.8253,0.9986,23.7856,0.00005766,1.200542
18,0.2134,0.4579,0.7296,0.5743,0.8299,0.9986,24.8525,0.00005475,1.116671
19,0.2088,0.4663,0.7188,0.5610,0.8183,0.9986,26.0615,0.00005175,1.113394
20,0.2070,0.4550,0.7268,0.5708,0.8322,0.9986,25.0533,0.00004868,inf
21,0.2044,0.4566,0.7257,0.5695,0.8251,0.9986,26.6468,0.00004555,1.042211
22,0.2015,0.4644,0.7278,0.5721,0.8239,0.9986,25.3922,0.00004238,1.052405
23,0.1987,0.4653,0.7282,0.5726,0.8231,0.9986,25.2789,0.00003920,1.071471
24,0.1949,0.4606,0.7264,0.5704,0.8227,0.9986,24.5790,0.00003603,1.003940
25,0.1908,0.4551,0.7278,0.5721,0.8218,0.9986,23.8031,0.00003288,inf
26,0.1876,0.4532,0.7337,0.5794,0.8307,0.9986,24.5468,0.00002977,inf
27,0.1854,0.4603,0.7267,0.5708,0.8275,0.9986,24.2261,0.00002673,0.974231
28,0.1840,0.4564,0.7255,0.5692,0.8240,0.9986,23.6540,0.00002378,1.012450
29,0.1818,0.4583,0.7286,0.5731,0.8282,0.9986,24.2193,0.00002092,inf
30,0.1810,0.4609,0.7296,0.5743,0.8269,0.9986,24.8870,0.00001819,1.038069
31,0.1795,0.4548,0.7343,0.5802,0.8301,0.9986,24.3187,0.00001560,0.937918
32,0.1776,0.4610,0.7304,0.5753,0.8273,0.9986,24.9592,0.00001316,inf
33,0.1767,0.4631,0.7289,0.5734,0.8247,0.9986,24.7647,0.00001088,0.918420
34,0.1754,0.4562,0.7327,0.5782,0.8295,0.9986,24.1358,0.00000880,0.959616
35,0.1746,0.4599,0.7300,0.5749,0.8261,0.9986,25.0005,0.00000691,inf
36,0.1744,0.4635,0.7296,0.5743,0.8249,0.9986,25.1790,0.00000523,0.945630
37,0.1734,0.4589,0.7309,0.5759,0.8280,0.9986,24.6089,0.00000377,0.943481
38,0.1723,0.4593,0.7305,0.5755,0.8265,0.9986,24.8141,0.00000253,0.917153
39,0.1722,0.4585,0.7314,0.5766,0.8277,0.9986,24.7641,0.00000154,inf
40,0.1726,0.4615,0.7307,0.5757,0.8271,0.9986,24.8997,0.00000100,0.985595
41,0.1712,0.4608,0.7312,0.5763,0.8271,0.9986,24.9041,0.00000100,inf
