epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm
1,1.4252,1.3001,0.6171,0.4462,0.8936,0.9972,34.2980,0.00002659,1.594443
2,1.2146,1.1359,0.6903,0.5271,0.9032,0.9980,27.2105,0.00005326,0.743407
3,1.0310,0.9023,0.6949,0.5324,0.8923,0.9981,30.3704,0.00007993,0.640334
4,0.7489,0.6030,0.7223,0.5653,0.9110,0.9982,22.9213,0.00007987,0.938788
5,0.4626,0.4415,0.7105,0.5509,0.8714,0.9983,25.2613,0.00007948,1.143939
6,0.3582,0.4030,0.7419,0.5897,0.8393,0.9987,19.6372,0.00007884,1.215321
7,0.3277,0.3928,0.7329,0.5784,0.8361,0.9986,21.4330,0.00007795,1.279901
8,0.3088,0.4008,0.7486,0.5982,0.8349,0.9987,19.8069,0.00007680,1.263291
9,0.2979,0.3827,0.7668,0.6218,0.8633,0.9988,18.7607,0.00007543,1.285795
10,0.2905,0.3921,0.7475,0.5968,0.8391,0.9987,21.5516,0.00007382,1.373270
11,0.2820,0.4036,0.7447,0.5933,0.8274,0.9987,20.4238,0.00007199,1.343512
12,0.2719,0.3994,0.7512,0.6016,0.8483,0.9987,19.9022,0.00006995,1.336104
13,0.2668,0.3838,0.7584,0.6108,0.8500,0.9987,19.3904,0.00006772,1.316586
14,0.2610,0.3978,0.7571,0.6092,0.8512,0.9987,20.7214,0.00006532,1.262570
15,0.2552,0.3901,0.7577,0.6100,0.8434,0.9988,18.9743,0.00006274,1.226864
16,0.2497,0.3865,0.7600,0.6129,0.8553,0.9987,18.9461,0.00006002,1.136512
