epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm
1,1.3024,1.1928,0.6146,0.4436,0.8681,0.9973,43.1024,0.00002667,1.056509
2,1.1140,1.0353,0.4933,0.3274,0.9227,0.9950,34.0476,0.00005333,0.611483
3,0.9313,0.8488,0.6743,0.5087,0.8591,0.9980,30.0488,0.00008000,0.741646
4,0.6782,0.6003,0.6731,0.5073,0.8465,0.9981,30.4194,0.00007987,inf
5,0.4477,0.4816,0.6997,0.5382,0.8492,0.9983,25.4578,0.00007949,1.049990
6,0.3397,0.4665,0.7186,0.5608,0.8426,0.9985,25.1115,0.00007887,inf
7,0.3013,0.4555,0.7118,0.5526,0.8244,0.9985,27.0924,0.00007799,1.256327
8,0.2785,0.4701,0.7087,0.5488,0.8176,0.9985,27.4831,0.00007688,1.259390
9,0.2632,0.4717,0.7152,0.5566,0.8181,0.9985,27.6825,0.00007553,1.216188
10,0.2529,0.4531,0.7196,0.5620,0.8276,0.9985,25.6344,0.00007396,inf
11,0.2426,0.4550,0.7231,0.5663,0.8163,0.9986,24.5858,0.00007217,inf
12,0.2352,0.4550,0.7142,0.5555,0.8172,0.9985,26.0296,0.00007018,1.193543
13,0.2307,0.4584,0.7218,0.5646,0.8222,0.9986,25.6318,0.00006800,1.218496
14,0.2252,0.4608,0.7244,0.5679,0.8245,0.9986,25.5734,0.00006564,1.182380
15,0.2211,0.4581,0.7302,0.5750,0.8308,0.9986,25.3691,0.00006312,1.166082
16,0.2167,0.4660,0.7255,0.5692,0.8213,0.9986,26.4447,0.00006046,1.062351
17,0.2133,0.4614,0.7199,0.5623,0.8167,0.9986,26.1767,0.00005766,inf
18,0.2090,0.4544,0.7250,0.5686,0.8211,0.9986,24.2867,0.00005475,1.027519
19,0.2055,0.4550,0.7271,0.5713,0.8298,0.9986,24.5804,0.00005175,inf
20,0.2028,0.4526,0.7287,0.5732,0.8280,0.9986,24.9974,0.00004868,0.969768
21,0.2007,0.4496,0.7326,0.5781,0.8255,0.9986,24.9249,0.00004555,inf
22,0.1978,0.4585,0.7274,0.5716,0.8207,0.9986,25.5434,0.00004238,0.946700
23,0.1960,0.4537,0.7278,0.5721,0.8197,0.9986,24.7814,0.00003920,1.027940
24,0.1930,0.4553,0.7295,0.5742,0.8246,0.9986,25.1174,0.00003603,0.944865
25,0.1908,0.4513,0.7321,0.5774,0.8226,0.9986,24.6452,0.00003288,0.892316
26,0.1883,0.4522,0.7308,0.5758,0.8211,0.9986,24.6614,0.00002977,inf
27,0.1870,0.4533,0.7326,0.5781,0.8272,0.9986,24.7401,0.00002673,0.961411
