epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm
1,1.4083,1.2693,0.5812,0.4096,0.8900,0.9968,48.6262,0.00002667,0.000000
2,1.1922,1.1139,0.6927,0.5299,0.8955,0.9980,35.8171,0.00005333,0.000000
3,1.0270,0.9034,0.7516,0.6021,0.8994,0.9985,31.1589,0.00008000,0.000000
4,0.7568,0.5743,0.7133,0.5543,0.9056,0.9982,31.4462,0.00007987,0.000000
5,0.4857,0.4506,0.7235,0.5668,0.8583,0.9985,27.0240,0.00007948,0.000000
6,0.3828,0.4130,0.7413,0.5889,0.8412,0.9987,25.5512,0.00007884,0.000000
7,0.3450,0.4035,0.7489,0.5985,0.8508,0.9987,23.8751,0.00007794,0.000000
8,0.3225,0.3914,0.7532,0.6042,0.8585,0.9987,23.0579,0.00007680,0.000000
9,0.3080,0.3998,0.7518,0.6024,0.8495,0.9987,22.6228,0.00007542,0.000000
10,0.2979,0.3968,0.7521,0.6026,0.8531,0.9987,23.2872,0.00007381,0.000000
11,0.2850,0.3993,0.7478,0.5971,0.8474,0.9987,22.1567,0.00007198,0.000000
12,0.2772,0.3906,0.7545,0.6058,0.8555,0.9987,22.9330,0.00006994,0.000000
13,0.2680,0.4104,0.7511,0.6014,0.8408,0.9987,23.8489,0.00006771,0.000000
14,0.2627,0.4085,0.7481,0.5975,0.8418,0.9987,23.5139,0.00006530,0.000000
15,0.2558,0.4022,0.7605,0.6136,0.8484,0.9988,22.0678,0.00006272,0.000000
16,0.2511,0.3932,0.7591,0.6118,0.8537,0.9987,23.3618,0.00006000,0.000000
17,0.2459,0.4077,0.7514,0.6018,0.8426,0.9987,22.6930,0.00005715,0.000000
18,0.2414,0.4108,0.7548,0.6062,0.8400,0.9988,21.9813,0.00005418,0.000000
19,0.2375,0.4125,0.7441,0.5925,0.8296,0.9987,23.1979,0.00005113,0.000000
20,0.2347,0.4089,0.7554,0.6069,0.8419,0.9988,22.7969,0.00004800,0.000000
21,0.2306,0.4152,0.7462,0.5952,0.8318,0.9987,22.8500,0.00004482,0.000000
22,0.2258,0.4084,0.7506,0.6008,0.8421,0.9987,22.7347,0.00004161,0.000000
23,0.2251,0.4050,0.7618,0.6153,0.8535,0.9988,22.5878,0.00003839,0.000000
24,0.2205,0.3976,0.7568,0.6087,0.8455,0.9988,21.2266,0.00003518,0.000000
25,0.2179,0.4082,0.7550,0.6065,0.8409,0.9988,23.0113,0.00003200,0.000000
26,0.2148,0.4055,0.7557,0.6074,0.8399,0.9988,22.4418,0.00002887,0.000000
27,0.2129,0.4129,0.7525,0.6032,0.8381,0.9987,24.1731,0.00002582,0.000000
28,0.2095,0.4041,0.7569,0.6088,0.8427,0.9988,21.8334,0.00002285,0.000000
29,0.2078,0.4080,0.7568,0.6087,0.8406,0.9988,22.1358,0.00002000,0.000000
30,0.2054,0.4089,0.7596,0.6124,0.8433,0.9988,22.0840,0.00001728,0.000000
31,0.2030,0.4101,0.7573,0.6095,0.8423,0.9988,22.2156,0.00001470,0.000000
32,0.2023,0.4114,0.7571,0.6092,0.8402,0.9988,22.4710,0.00001229,0.000000
33,0.2005,0.4137,0.7523,0.6029,0.8360,0.9988,22.5345,0.00001006,0.000000
