epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm,use_deep_supervision,loss_main,loss_aux_d2,loss_aux_d3,loss_aux_d4,ds_weight_main,ds_weight_d2,ds_weight_d3,ds_weight_d4
1,1.2897,1.2076,0.5110,0.3432,0.9392,0.9952,41.5246,0.00002664,1.168501,1.000000,1.315651,1.292636,1.211398,1.226751,0.533333,0.266667,0.133333,0.066667
2,1.0461,1.0388,0.6887,0.5252,0.9149,0.9979,26.4260,0.00005331,0.561101,1.000000,1.129563,1.037874,0.863917,0.775583,0.533333,0.266667,0.133333,0.066667
3,0.7885,0.7652,0.6985,0.5367,0.9094,0.9980,27.6752,0.00007998,0.745798,1.000000,0.923779,0.710916,0.519757,0.554745,0.533333,0.266667,0.133333,0.066667
4,0.5286,0.4655,0.7584,0.6108,0.8959,0.9986,19.4080,0.00007987,1.030749,1.000000,0.598105,0.439574,0.435743,0.513790,0.533333,0.266667,0.133333,0.066667
5,0.4092,0.4057,0.6930,0.5302,0.9129,0.9979,26.0180,0.00007948,1.137970,1.000000,0.409761,0.385513,0.413174,0.491668,0.533333,0.266667,0.133333,0.066667
6,0.3797,0.3766,0.7674,0.6226,0.8639,0.9988,17.3405,0.00007884,1.266303,1.000000,0.365840,0.369609,0.403024,0.484646,0.533333,0.266667,0.133333,0.066667
7,0.3630,0.3727,0.7564,0.6082,0.8711,0.9987,21.9107,0.00007794,1.240468,1.000000,0.345797,0.356005,0.391140,0.471864,0.533333,0.266667,0.133333,0.066667
8,0.3494,0.3736,0.7519,0.6024,0.8492,0.9987,19.5650,0.00007680,1.210578,1.000000,0.330584,0.343748,0.379995,0.461715,0.533333,0.266667,0.133333,0.066667
9,0.3451,0.3678,0.7600,0.6129,0.8620,0.9987,18.6061,0.00007542,1.338689,1.000000,0.325323,0.340129,0.377542,0.459046,0.533333,0.266667,0.133333,0.066667
10,0.3350,0.3816,0.7419,0.5897,0.8462,0.9986,19.0739,0.00007381,1.313618,1.000000,0.314688,0.330034,0.367590,0.451502,0.533333,0.266667,0.133333,0.066667
11,0.3278,0.3779,0.7559,0.6076,0.8495,0.9987,19.8232,0.00007199,1.325992,1.000000,0.306857,0.322972,0.362379,0.446133,0.533333,0.266667,0.133333,0.066667
12,0.3219,0.3775,0.7568,0.6088,0.8479,0.9987,18.3889,0.00006995,1.327225,1.000000,0.300477,0.317106,0.356936,0.442472,0.533333,0.266667,0.133333,0.066667
13,0.3154,0.3881,0.7520,0.6026,0.8377,0.9987,19.9376,0.00006772,1.301278,1.000000,0.293667,0.310779,0.350788,0.437474,0.533333,0.266667,0.133333,0.066667
14,0.3100,0.3848,0.7441,0.5925,0.8382,0.9987,18.4853,0.00006531,1.297992,1.000000,0.287846,0.305407,0.346337,0.433009,0.533333,0.266667,0.133333,0.066667
15,0.3020,0.3818,0.7530,0.6038,0.8439,0.9987,18.8623,0.00006274,1.239079,1.000000,0.279147,0.297927,0.339025,0.426701,0.533333,0.266667,0.133333,0.066667
16,0.2976,0.3827,0.7518,0.6024,0.8396,0.9987,18.0836,0.00006002,1.303674,1.000000,0.274586,0.293308,0.335287,0.423165,0.533333,0.266667,0.133333,0.066667
