epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm
1,1.2621,1.1682,0.5443,0.3739,0.9587,0.9957,34.1542,0.00002667,0.980230
2,1.0813,0.9641,0.7061,0.5457,0.8878,0.9982,27.8638,0.00005333,0.679258
3,0.8459,0.7164,0.7204,0.5630,0.8728,0.9984,29.2192,0.00007998,1.044003
4,0.5473,0.4514,0.7423,0.5902,0.8666,0.9986,21.4646,0.00007987,1.311675
5,0.4114,0.3887,0.7316,0.5768,0.8864,0.9984,22.2736,0.00007948,1.302171
6,0.3753,0.3739,0.7744,0.6319,0.8857,0.9987,19.2766,0.00007884,1.320555
7,0.3615,0.3793,0.7558,0.6075,0.8559,0.9987,19.2878,0.00007794,1.341000
8,0.3499,0.3706,0.7669,0.6219,0.8695,0.9987,17.5631,0.00007680,1.330175
9,0.3415,0.3669,0.7699,0.6259,0.8716,0.9987,18.9015,0.00007542,1.369711
10,0.3337,0.3776,0.7332,0.5788,0.8555,0.9985,18.3245,0.00007382,1.495924
