epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm,use_deep_supervision,loss_main,loss_aux_d2,loss_aux_d3,loss_aux_d4,ds_weight_main,ds_weight_d2,ds_weight_d3,ds_weight_d4
1,1.3018,1.1663,0.5156,0.3473,0.9276,0.9955,41.6460,0.00002664,1.139246,1.000000,1.264952,1.388653,1.309820,1.233616,0.533333,0.266667,0.133333,0.066667
2,1.0540,0.9718,0.7026,0.5416,0.8991,0.9981,28.3505,0.00005331,0.586700,1.000000,1.086186,1.106677,0.957590,0.778043,0.533333,0.266667,0.133333,0.066667
3,0.7867,0.6376,0.7132,0.5542,0.9114,0.9981,25.5367,0.00007998,0.800778,1.000000,0.844204,0.827013,0.586487,0.566022,0.533333,0.266667,0.133333,0.066667
4,0.5026,0.4149,0.7528,0.6036,0.9177,0.9985,23.2747,0.00007987,1.127179,1.000000,0.518952,0.492871,0.447208,0.520754,0.533333,0.266667,0.133333,0.066667
5,0.4062,0.3818,0.7676,0.6229,0.9033,0.9986,20.7332,0.00007948,1.239723,1.000000,0.395024,0.397944,0.420368,0.499765,0.533333,0.266667,0.133333,0.066667
6,0.3795,0.3746,0.7641,0.6182,0.8690,0.9987,20.4590,0.00007884,1.150512,1.000000,0.362580,0.373840,0.405139,0.486631,0.533333,0.266667,0.133333,0.066667
7,0.3661,0.3699,0.7659,0.6206,0.8774,0.9987,18.1986,0.00007795,1.179913,1.000000,0.347528,0.361239,0.395019,0.476330,0.533333,0.266667,0.133333,0.066667
8,0.3551,0.3648,0.7720,0.6287,0.8825,0.9987,19.0635,0.00007680,1.250789,1.000000,0.335419,0.350213,0.386619,0.468730,0.533333,0.266667,0.133333,0.066667
9,0.3477,0.3640,0.7737,0.6309,0.8682,0.9988,17.8468,0.00007543,1.263041,1.000000,0.327609,0.343154,0.379854,0.462281,0.533333,0.266667,0.133333,0.066667
10,0.3384,0.3697,0.7642,0.6184,0.8659,0.9987,17.8040,0.00007382,1.325385,1.000000,0.317687,0.333637,0.371714,0.455952,0.533333,0.266667,0.133333,0.066667
11,0.3308,0.3783,0.7542,0.6054,0.8452,0.9987,19.0118,0.00007199,1.348381,1.000000,0.309749,0.325967,0.365029,0.450292,0.533333,0.266667,0.133333,0.066667
12,0.3250,0.3782,0.7624,0.6160,0.8567,0.9987,17.7659,0.00006995,1.313862,1.000000,0.303542,0.320315,0.360012,0.445600,0.533333,0.266667,0.133333,0.066667
13,0.3162,0.3824,0.7602,0.6131,0.8471,0.9988,17.4532,0.00006772,1.198632,1.000000,0.294277,0.311367,0.351837,0.439425,0.533333,0.266667,0.133333,0.066667
14,0.3109,0.3781,0.7485,0.5981,0.8555,0.9987,21.9763,0.00006531,1.194402,1.000000,0.288729,0.305949,0.347510,0.435176,0.533333,0.266667,0.133333,0.066667
15,0.3060,0.3814,0.7523,0.6029,0.8425,0.9987,18.4828,0.00006274,1.265669,1.000000,0.283297,0.301880,0.342690,0.430571,0.533333,0.266667,0.133333,0.066667
16,0.2994,0.3786,0.7557,0.6073,0.8503,0.9987,19.4582,0.00006002,1.224517,1.000000,0.276107,0.294682,0.338279,0.426163,0.533333,0.266667,0.133333,0.066667
17,0.2930,0.3879,0.7595,0.6123,0.8536,0.9987,18.2196,0.00005717,1.181670,1.000000,0.269522,0.288674,0.331572,0.421683,0.533333,0.266667,0.133333,0.066667
18,0.2877,0.3829,0.7584,0.6108,0.8486,0.9988,17.8123,0.00005421,1.183949,1.000000,0.263980,0.283048,0.327147,0.417620,0.533333,0.266667,0.133333,0.066667
19,0.2852,0.3906,0.7523,0.6030,0.8385,0.9987,18.7661,0.00005115,1.186656,1.000000,0.261399,0.280606,0.324761,0.415565,0.533333,0.266667,0.133333,0.066667
