epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm
1,1.2997,1.1968,0.6113,0.4402,0.9375,0.9969,34.5892,0.00002662,1.510987
2,1.1223,1.0473,0.6585,0.4909,0.8999,0.9977,31.4161,0.00005328,0.709544
3,0.9280,0.8056,0.7107,0.5512,0.8930,0.9982,34.9056,0.00007995,1.024825
4,0.6263,0.4876,0.7160,0.5577,0.8968,0.9982,29.1740,0.00007987,1.322581
5,0.4300,0.3970,0.7710,0.6273,0.8949,0.9987,18.4226,0.00007948,1.309577
6,0.3670,0.3827,0.7551,0.6065,0.8614,0.9987,23.1846,0.00007884,1.351208
7,0.3439,0.3843,0.7571,0.6092,0.8531,0.9987,21.0848,0.00007795,1.423283
8,0.3225,0.3753,0.7781,0.6368,0.8747,0.9988,18.4196,0.00007680,1.380106
9,0.3128,0.3679,0.7616,0.6150,0.8750,0.9987,19.2659,0.00007543,1.497407
10,0.2988,0.3959,0.7387,0.5857,0.8350,0.9987,19.5952,0.00007382,1.496982
11,0.2896,0.3870,0.7612,0.6145,0.8638,0.9987,18.7888,0.00007199,1.593746
12,0.2821,0.3774,0.7746,0.6321,0.8663,0.9988,17.9380,0.00006995,1.535244
13,0.2720,0.3814,0.7670,0.6221,0.8545,0.9988,18.3840,0.00006773,1.549798
14,0.2652,0.3761,0.7706,0.6268,0.8557,0.9988,17.1541,0.00006532,1.476769
15,0.2579,0.3798,0.7643,0.6185,0.8509,0.9988,18.3657,0.00006274,1.409415
16,0.2520,0.3874,0.7584,0.6108,0.8392,0.9988,18.4396,0.00006002,1.425493
17,0.2473,0.3839,0.7634,0.6173,0.8466,0.9988,17.9889,0.00005717,1.391083
18,0.2431,0.3859,0.7607,0.6138,0.8471,0.9988,19.4872,0.00005421,1.418608
