epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm,use_deep_supervision,loss_main,loss_aux_d2,loss_aux_d3,loss_aux_d4,ds_weight_main,ds_weight_d2,ds_weight_d3,ds_weight_d4,pet_beta,pet_spatial_mean,pet_spatial_std,pet_modulation_delta_abs_mean,down1_alpha,down2_alpha,down3_alpha,down1_x_hp_abs_mean,down1_x_lap_abs_mean,down1_x_hh_mean,down1_high_gate_mean,down2_x_hp_abs_mean,down2_x_lap_abs_mean,down2_x_hh_mean,down2_high_gate_mean,down3_x_hp_abs_mean,down3_x_lap_abs_mean,down3_x_hh_mean,down3_high_gate_mean
1,1.3821,1.2644,0.5301,0.3607,0.8987,0.9960,50.8824,0.00002667,0.000000,1.000000,1.409155,1.375639,1.325847,1.303353,0.533333,0.266667,0.133333,0.066667,0.011363,0.541977,0.317514,0.005985,0.002492,-0.002564,-0.006550,0.027579,0.007400,0.090696,0.492137,0.049645,0.012525,0.123451,0.513057,0.089999,0.018006,0.145943,0.505133,0.000000
2,1.1027,1.0877,0.7062,0.5458,0.9232,0.9980,30.2700,0.00005333,0.000000,1.000000,1.171519,1.090363,0.974560,0.858209,0.533333,0.266667,0.133333,0.066667,0.038554,0.715090,0.263481,0.027925,-0.000458,-0.030918,-0.036420,0.028626,0.007690,0.089348,0.492348,0.049869,0.012423,0.111332,0.519840,0.090156,0.018260,0.125071,0.524988,0.000000
3,0.8423,0.8076,0.7065,0.5462,0.8427,0.9984,26.7838,0.00008000,0.000000,1.000000,0.960075,0.793287,0.600158,0.580831,0.533333,0.266667,0.133333,0.066667,0.101617,0.604332,0.281994,0.063103,-0.000094,-0.056984,-0.050672,0.027781,0.007337,0.091493,0.490076,0.050143,0.012067,0.104200,0.519301,0.091465,0.018331,0.126017,0.534467,0.000000
4,0.5358,0.4639,0.7138,0.5549,0.8774,0.9983,24.3002,0.00007987,0.000000,1.000000,0.603768,0.452641,0.439330,0.517664,0.533333,0.266667,0.133333,0.066667,0.144223,0.803229,0.197106,0.152860,0.000690,-0.068004,-0.053995,0.028110,0.007396,0.091642,0.487658,0.050892,0.012376,0.102175,0.517317,0.093892,0.018864,0.116982,0.522579,0.000000
5,0.3936,0.4151,0.7348,0.5808,0.8601,0.9985,21.8102,0.00007948,0.000000,1.000000,0.390803,0.371536,0.402099,0.487756,0.533333,0.266667,0.133333,0.066667,0.178253,0.918490,0.146040,0.244114,0.000630,-0.073087,-0.057137,0.029021,0.007705,0.093476,0.487295,0.053017,0.012753,0.106053,0.516593,0.097545,0.019508,0.120285,0.521139,0.000000
6,0.3523,0.4064,0.7363,0.5827,0.8338,0.9987,23.1425,0.00007884,0.000000,1.000000,0.335928,0.342338,0.378846,0.470121,0.533333,0.266667,0.133333,0.066667,0.193497,0.919106,0.150333,0.267334,-0.000163,-0.076126,-0.059209,0.030137,0.008185,0.093474,0.487426,0.056667,0.013980,0.110739,0.517711,0.101688,0.021053,0.121188,0.522018,0.000000
7,0.3329,0.3942,0.7422,0.5901,0.8477,0.9986,23.3372,0.00007794,0.000000,1.000000,0.313434,0.325596,0.364477,0.455097,0.533333,0.266667,0.133333,0.066667,0.203311,0.907231,0.157619,0.304483,0.002786,-0.080371,-0.061217,0.029602,0.008047,0.093406,0.489306,0.055217,0.013472,0.112070,0.517417,0.100242,0.020828,0.124800,0.525841,0.000000
8,0.3194,0.3874,0.7514,0.6017,0.8505,0.9987,20.6243,0.00007680,0.000000,1.000000,0.298363,0.313018,0.353182,0.445510,0.533333,0.266667,0.133333,0.066667,0.211104,0.917096,0.145851,0.337798,0.002317,-0.081196,-0.062260,0.028441,0.007699,0.095280,0.488785,0.052233,0.012372,0.116549,0.519566,0.097968,0.019848,0.132009,0.525360,0.000000
9,0.3078,0.4013,0.7493,0.5992,0.8377,0.9987,20.2484,0.00007542,0.000000,1.000000,0.285596,0.301811,0.344551,0.435991,0.533333,0.266667,0.133333,0.066667,0.215003,0.922239,0.145344,0.353769,0.006556,-0.083690,-0.061698,0.029056,0.007922,0.094280,0.490426,0.052499,0.012297,0.110996,0.515778,0.095067,0.019405,0.125430,0.528490,0.000000
10,0.2994,0.3913,0.7572,0.6092,0.8596,0.9987,21.9317,0.00007381,0.000000,1.000000,0.276658,0.293786,0.336890,0.429514,0.533333,0.266667,0.133333,0.066667,0.220058,0.897453,0.157533,0.368807,0.011134,-0.086064,-0.063535,0.029182,0.007923,0.094260,0.491386,0.052292,0.011999,0.110462,0.515373,0.095093,0.018780,0.122509,0.526197,0.000000
