epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm,use_deep_supervision,loss_main,loss_aux_d2,loss_aux_d3,loss_aux_d4,ds_weight_main,ds_weight_d2,ds_weight_d3,ds_weight_d4
1,1.3940,1.3279,0.4670,0.3046,0.8734,0.9952,76.0736,0.00002654,5.786676,1.000000,1.470274,1.340296,1.236905,1.312634,0.533333,0.266667,0.133333,0.066667
2,1.1036,1.1524,0.7005,0.5390,0.9185,0.9980,30.3607,0.00005321,1.056252,1.000000,1.226984,1.052538,0.857327,0.814003,0.533333,0.266667,0.133333,0.066667
3,0.8542,0.9770,0.6441,0.4750,0.8946,0.9975,59.4137,0.00007988,0.850601,1.000000,1.049418,0.706063,0.510126,0.573624,0.533333,0.266667,0.133333,0.066667
4,0.6210,0.6219,0.7271,0.5712,0.9013,0.9983,23.8998,0.00007987,0.945136,1.000000,0.778843,0.427921,0.427214,0.518670,0.533333,0.266667,0.133333,0.066667
5,0.4430,0.4641,0.7499,0.5999,0.8533,0.9987,22.7125,0.00007948,1.052966,1.000000,0.485353,0.369150,0.397819,0.490035,0.533333,0.266667,0.133333,0.066667
6,0.3657,0.4045,0.7581,0.6105,0.8656,0.9987,22.5848,0.00007884,1.103263,1.000000,0.360916,0.343014,0.377682,0.471348,0.533333,0.266667,0.133333,0.066667
7,0.3405,0.3943,0.7586,0.6111,0.8658,0.9987,22.1463,0.00007795,1.158101,1.000000,0.325122,0.328891,0.366170,0.459021,0.533333,0.266667,0.133333,0.066667
8,0.3229,0.3949,0.7543,0.6055,0.8626,0.9987,22.2741,0.00007680,1.187727,1.000000,0.303663,0.314695,0.354265,0.446941,0.533333,0.266667,0.133333,0.066667
9,0.3129,0.3919,0.7319,0.5772,0.8565,0.9985,25.8612,0.00007543,1.154198,1.000000,0.291986,0.306103,0.347030,0.439546,0.533333,0.266667,0.133333,0.066667
10,0.3030,0.4031,0.7495,0.5994,0.8464,0.9987,22.4461,0.00007382,1.129136,1.000000,0.281215,0.296607,0.338874,0.431826,0.533333,0.266667,0.133333,0.066667
11,0.2932,0.4026,0.7446,0.5931,0.8428,0.9987,22.8064,0.00007199,1.202212,1.000000,0.270651,0.287165,0.330154,0.423905,0.533333,0.266667,0.133333,0.066667
12,0.2876,0.3961,0.7594,0.6122,0.8568,0.9987,22.3400,0.00006996,1.165350,1.000000,0.264557,0.281829,0.325460,0.419156,0.533333,0.266667,0.133333,0.066667
13,0.2799,0.4203,0.7415,0.5891,0.8278,0.9987,22.9719,0.00006773,1.159032,1.000000,0.256420,0.274460,0.318730,0.412364,0.533333,0.266667,0.133333,0.066667
14,0.2751,0.3993,0.7591,0.6117,0.8468,0.9988,21.8514,0.00006532,0.991562,1.000000,0.251457,0.269526,0.314575,0.408303,0.533333,0.266667,0.133333,0.066667
15,0.2698,0.4010,0.7574,0.6095,0.8496,0.9987,23.2161,0.00006274,0.983330,1.000000,0.245890,0.264706,0.309350,0.402989,0.533333,0.266667,0.133333,0.066667
16,0.2664,0.3890,0.7701,0.6261,0.8643,0.9988,22.2644,0.00006002,1.043754,1.000000,0.242094,0.261252,0.306789,0.400421,0.533333,0.266667,0.133333,0.066667
17,0.2601,0.4000,0.7683,0.6238,0.8627,0.9988,22.4115,0.00005717,0.959828,1.000000,0.235534,0.254809,0.300778,0.395813,0.533333,0.266667,0.133333,0.066667
18,0.2576,0.3988,0.7721,0.6288,0.8619,0.9988,21.5047,0.00005421,0.926501,1.000000,0.232889,0.252613,0.298636,0.393504,0.533333,0.266667,0.133333,0.066667
19,0.2536,0.3976,0.7577,0.6099,0.8475,0.9987,22.7853,0.00005116,0.883927,1.000000,0.228518,0.248534,0.295381,0.390272,0.533333,0.266667,0.133333,0.066667
20,0.2514,0.3980,0.7678,0.6231,0.8579,0.9988,22.1310,0.00004803,0.835155,1.000000,0.226144,0.246510,0.293377,0.388409,0.533333,0.266667,0.133333,0.066667
21,0.2482,0.3952,0.7623,0.6159,0.8537,0.9988,22.2736,0.00004485,0.959934,1.000000,0.222863,0.243325,0.290814,0.384894,0.533333,0.266667,0.133333,0.066667
22,0.2444,0.3988,0.7570,0.6090,0.8453,0.9988,23.9367,0.00004165,0.923606,1.000000,0.218930,0.239681,0.287560,0.381419,0.533333,0.266667,0.133333,0.066667
23,0.2424,0.3930,0.7667,0.6216,0.8641,0.9988,23.9211,0.00003842,0.879602,1.000000,0.216928,0.237803,0.285320,0.379066,0.533333,0.266667,0.133333,0.066667
24,0.2391,0.3967,0.7621,0.6157,0.8497,0.9988,22.0239,0.00003521,0.936881,1.000000,0.213253,0.234514,0.282569,0.377034,0.533333,0.266667,0.133333,0.066667
25,0.2365,0.4040,0.7585,0.6109,0.8433,0.9988,22.2991,0.00003203,0.803174,1.000000,0.210579,0.231946,0.280035,0.375479,0.533333,0.266667,0.133333,0.066667
26,0.2348,0.4050,0.7558,0.6075,0.8422,0.9988,21.9443,0.00002891,0.865933,1.000000,0.208767,0.230278,0.278757,0.373294,0.533333,0.266667,0.133333,0.066667
