epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm,use_deep_supervision,loss_main,loss_aux_d2,loss_aux_d3,loss_aux_d4,ds_weight_main,ds_weight_d2,ds_weight_d3,ds_weight_d4,pet_mrp_gsa_enabled,pet_mrp_prior_skipped,pet_mrp_active_stages
1,1.3946,1.3130,0.5802,0.4086,0.8721,0.9970,49.7080,0.00002667,0.000000,1.000000,0.000000,4.000000,1.000000,1.470418,1.340987,1.238278,1.314720,0.533333,0.266667,0.133333,0.066667,0.000000
2,1.1046,1.1473,0.6950,0.5325,0.9157,0.9979,31.9478,0.00005333,0.000000,1.000000,0.000000,4.000000,1.000000,1.226207,1.052492,0.863256,0.822146,0.533333,0.266667,0.133333,0.066667,0.000000
3,0.8531,0.9267,0.7462,0.5952,0.8965,0.9985,23.2107,0.00008000,0.000000,1.000000,0.000000,4.000000,1.000000,1.047724,0.703734,0.513217,0.573289,0.533333,0.266667,0.133333,0.066667,0.000000
4,0.6206,0.6385,0.7391,0.5862,0.8881,0.9985,22.6566,0.00007987,0.000000,1.000000,0.000000,4.000000,1.000000,0.776967,0.429595,0.428856,0.517348,0.533333,0.266667,0.133333,0.066667,0.000000
5,0.4432,0.4544,0.7357,0.5819,0.8515,0.9986,23.8929,0.00007948,0.000000,1.000000,0.000000,4.000000,1.000000,0.485364,0.369548,0.398351,0.489774,0.533333,0.266667,0.133333,0.066667,0.000000
6,0.3696,0.4118,0.7391,0.5862,0.8390,0.9987,22.1279,0.00007884,0.000000,1.000000,0.000000,4.000000,1.000000,0.364895,0.346792,0.381571,0.474791,0.533333,0.266667,0.133333,0.066667,0.000000
7,0.3435,0.4086,0.7394,0.5865,0.8502,0.9986,23.2614,0.00007794,0.000000,1.000000,0.000000,4.000000,1.000000,0.328260,0.331685,0.368821,0.461346,0.533333,0.266667,0.133333,0.066667,0.000000
8,0.3262,0.4016,0.7397,0.5869,0.8341,0.9987,22.5489,0.00007680,0.000000,1.000000,0.000000,4.000000,1.000000,0.307233,0.317947,0.357152,0.448876,0.533333,0.266667,0.133333,0.066667,0.000000
9,0.3144,0.3931,0.7427,0.5908,0.8428,0.9987,22.5255,0.00007542,0.000000,1.000000,0.000000,4.000000,1.000000,0.293935,0.307578,0.347735,0.439043,0.533333,0.266667,0.133333,0.066667,0.000000
10,0.3066,0.3985,0.7533,0.6043,0.8463,0.9987,21.6053,0.00007381,0.000000,1.000000,0.000000,4.000000,1.000000,0.284978,0.300396,0.341951,0.433182,0.533333,0.266667,0.133333,0.066667,0.000000
11,0.2963,0.4017,0.7539,0.6050,0.8505,0.9987,22.9108,0.00007198,0.000000,1.000000,0.000000,4.000000,1.000000,0.273865,0.290557,0.333131,0.424694,0.533333,0.266667,0.133333,0.066667,0.000000
12,0.2897,0.3994,0.7479,0.5974,0.8395,0.9987,21.5008,0.00006994,0.000000,1.000000,0.000000,4.000000,1.000000,0.266649,0.284129,0.327621,0.420435,0.533333,0.266667,0.133333,0.066667,0.000000
13,0.2833,0.3959,0.7545,0.6058,0.8404,0.9988,22.2803,0.00006771,0.000000,1.000000,0.000000,4.000000,1.000000,0.259934,0.277911,0.321844,0.414564,0.533333,0.266667,0.133333,0.066667,0.000000
14,0.2782,0.4037,0.7484,0.5980,0.8382,0.9987,22.4806,0.00006530,0.000000,1.000000,0.000000,4.000000,1.000000,0.254901,0.272611,0.316837,0.409694,0.533333,0.266667,0.133333,0.066667,0.000000
15,0.2732,0.4069,0.7483,0.5978,0.8495,0.9987,24.8129,0.00006272,0.000000,1.000000,0.000000,4.000000,1.000000,0.249273,0.268209,0.312971,0.405537,0.533333,0.266667,0.133333,0.066667,0.000000
