rank,sample_id,group,teacher_dice,student_dice,dice_gap,teacher_hd95,student_hd95,hd95_gap
1,2983,hard,0.8419,0.0000,0.8419,2.83,118.73,115.91
2,3014,hard,0.7826,0.0000,0.7826,3.16,121.03,117.87
3,4209,hard,0.7810,0.0000,0.7810,3.45,68.55,65.10
4,1472,hard,0.7647,0.0000,0.7647,3.56,103.48,99.92
5,1386,hard,0.7647,0.0000,0.7647,1.41,54.52,53.10
6,3343,hard,0.7647,0.0000,0.7647,2.24,33.50,31.26
7,2985,hard,0.7605,0.0000,0.7605,7.67,121.46,113.79
8,2966,hard,0.7310,0.0000,0.7310,7.02,31.39,24.36
9,4211,hard,0.7308,0.0000,0.7308,2.00,68.55,66.55
10,2061,hard,0.7255,0.0000,0.7255,2.00,109.23,107.23
11,4210,hard,0.7255,0.0000,0.7255,2.91,68.55,65.65
12,2064,hard,0.7229,0.0000,0.7229,5.17,107.84,102.68
