epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm
1,1.2879,1.1780,0.5668,0.3955,0.9381,0.9962,33.0837,0.00002667,1.096185
2,1.0798,0.9724,0.6923,0.5294,0.8970,0.9980,24.0988,0.00005333,0.634552
3,0.8548,0.6975,0.7088,0.5489,0.8680,0.9983,24.0199,0.00008000,inf
4,0.5747,0.4978,0.7197,0.5621,0.8615,0.9984,20.0330,0.00007987,inf
5,0.3966,0.4421,0.7385,0.5854,0.8354,0.9987,20.5491,0.00007950,1.231163
6,0.3345,0.4176,0.7339,0.5797,0.8193,0.9987,19.9132,0.00007887,1.312073
7,0.3064,0.3959,0.7459,0.5948,0.8358,0.9987,19.5218,0.00007799,inf
8,0.2871,0.3879,0.7562,0.6080,0.8422,0.9988,19.9016,0.00007688,1.421116
9,0.2740,0.3824,0.7613,0.6146,0.8503,0.9988,19.0055,0.00007553,inf
10,0.2626,0.3899,0.7598,0.6127,0.8464,0.9988,18.6443,0.00007396,inf
11,0.2538,0.3823,0.7734,0.6305,0.8539,0.9988,18.8967,0.00007217,1.321868
12,0.2469,0.3829,0.7661,0.6209,0.8535,0.9988,18.7581,0.00007018,1.357465
13,0.2387,0.3883,0.7693,0.6250,0.8493,0.9988,18.6321,0.00006800,inf
14,0.2334,0.3875,0.7652,0.6197,0.8442,0.9988,17.9830,0.00006564,1.216536
15,0.2283,0.3948,0.7688,0.6244,0.8535,0.9988,20.1150,0.00006312,1.144067
16,0.2241,0.3838,0.7730,0.6300,0.8556,0.9988,17.8382,0.00006046,1.239374
17,0.2191,0.3869,0.7669,0.6220,0.8540,0.9988,18.5339,0.00005766,1.072982
18,0.2148,0.3825,0.7726,0.6295,0.8603,0.9988,18.3207,0.00005475,1.055927
19,0.2116,0.3855,0.7662,0.6210,0.8481,0.9988,18.0432,0.00005175,inf
20,0.2089,0.3822,0.7723,0.6291,0.8573,0.9988,17.7893,0.00004868,1.004445
21,0.2056,0.3922,0.7642,0.6183,0.8501,0.9988,19.2021,0.00004555,inf
