rank,sample_id,group,teacher_dice,student_dice,dice_gap,teacher_iou,student_iou,teacher_acc,student_acc,teacher_hd95,student_hd95,hd95_gap
1,2983,hard,0.8419,0.0000,0.8419,0.7269,0.0000,0.8908,0.4998,2.83,118.73,115.91
2,3014,hard,0.7826,0.0000,0.7826,0.6429,0.0000,0.8685,0.4998,2.83,121.03,118.20
3,4209,hard,0.7810,0.0000,0.7810,0.6406,0.0000,0.8796,0.5000,3.45,68.55,65.10
4,1472,hard,0.7647,0.0000,0.7647,0.6190,0.0000,0.8197,0.5000,3.56,103.48,99.92
5,1386,hard,0.7647,0.0000,0.7647,0.6190,0.0000,0.8714,0.5000,1.41,54.52,53.10
6,3343,hard,0.7647,0.0000,0.7647,0.6190,0.0000,0.8823,0.4999,2.00,33.50,31.50
7,2985,hard,0.7605,0.0000,0.7605,0.6136,0.0000,0.9125,0.4999,7.67,121.46,113.79
8,2966,hard,0.7310,0.0000,0.7310,0.5761,0.0000,0.8370,0.5000,7.02,31.39,24.36
9,4211,hard,0.7308,0.0000,0.7308,0.5758,0.0000,0.8518,0.5000,2.00,68.55,66.55
10,2061,hard,0.7255,0.0000,0.7255,0.5692,0.0000,0.8854,0.5000,2.00,109.23,107.23
11,4210,hard,0.7255,0.0000,0.7255,0.5692,0.0000,0.8426,0.5000,2.91,68.55,65.65
12,2064,hard,0.7229,0.0000,0.7229,0.5660,0.0000,0.8261,0.5000,5.17,107.84,102.68
13,2958,hard,0.8152,0.0938,0.7213,0.6880,0.0492,0.8799,0.5246,4.24,14.22,9.98
14,1909,hard,0.7149,0.0000,0.7149,0.5563,0.0000,0.7805,0.4999,13.43,106.31,92.88
15,132,hard,0.7131,0.0000,0.7131,0.5541,0.0000,0.8301,0.4995,6.13,25.53,19.40
16,3012,hard,0.7124,0.0000,0.7124,0.5533,0.0000,0.8469,0.4998,4.47,129.50,125.02
17,2959,hard,0.8088,0.0972,0.7117,0.6790,0.0511,0.8441,0.5255,4.97,14.32,9.34
18,1910,hard,0.7093,0.0000,0.7093,0.5496,0.0000,0.7753,0.4999,13.42,105.88,92.47
19,2062,hard,0.7048,0.0000,0.7048,0.5441,0.0000,0.8854,0.5000,2.15,109.23,107.08
20,4216,hard,0.7045,0.0000,0.7045,0.5439,0.0000,0.7818,0.5000,10.00,129.02,119.02
21,1908,hard,0.7009,0.0000,0.7009,0.5395,0.0000,0.7743,0.5000,15.00,115.50,100.50
22,2063,hard,0.7000,0.0000,0.7000,0.5385,0.0000,0.8043,0.5000,5.83,107.84,102.01
23,130,hard,0.6741,0.0031,0.6710,0.5084,0.0015,0.8251,0.5008,8.08,27.00,18.92
24,1912,hard,0.6688,0.0000,0.6688,0.5024,0.0000,0.7800,0.4998,73.10,98.23,25.12
25,2967,hard,0.6657,0.0000,0.6657,0.4989,0.0000,0.7925,0.5000,8.23,100.01,91.78
26,1940,hard,0.6781,0.0142,0.6639,0.5129,0.0071,0.7630,0.5037,10.00,42.07,32.07
27,1742,hard,0.6611,0.0000,0.6611,0.4938,0.0000,0.7616,0.4994,5.76,96.35,90.59
28,2745,hard,0.6606,0.0000,0.6606,0.4932,0.0000,0.7552,0.5000,9.42,105.75,96.33
29,2981,hard,0.6596,0.0000,0.6596,0.4921,0.0000,0.8339,0.4999,5.94,134.43,128.49
30,2968,hard,0.6591,0.0000,0.6591,0.4915,0.0000,0.7570,0.5000,8.00,100.01,92.01
