epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm,enc_ct_s1_gamma,enc_ct_s2_gamma,enc_ct_s3_gamma,enc_ct_s4_gamma,enc_pet_s1_gamma,enc_pet_s2_gamma,enc_pet_s3_gamma,enc_pet_s4_gamma
1,1.3512,1.1813,0.5714,0.4000,0.8371,0.9971,49.4929,0.00006667,inf,0.125731,0.145504,0.130272,0.130273,0.103145,0.101645,0.111825,0.123328
2,1.0447,0.7982,0.6279,0.4576,0.8132,0.9979,38.2104,0.00013333,inf,0.167530,0.213916,0.183589,0.184305,0.104792,0.116017,0.126596,0.149660
3,0.7492,0.6585,0.6017,0.4303,0.8000,0.9977,41.3464,0.00020000,1.365860,0.199986,0.241277,0.206324,0.212113,0.114590,0.128220,0.144872,0.153322
4,0.4947,0.4735,0.6860,0.5221,0.8380,0.9982,35.5864,0.00019952,1.246266,0.227833,0.264397,0.225467,0.240339,0.116790,0.152968,0.158715,0.153976
5,0.4017,0.4428,0.7153,0.5568,0.8451,0.9984,27.6723,0.00019808,inf,0.249489,0.281004,0.243684,0.248927,0.129165,0.196111,0.164897,0.155743
6,0.3779,0.4371,0.7232,0.5664,0.8553,0.9984,29.0626,0.00019569,0.950101,0.264778,0.297902,0.253254,0.263485,0.142000,0.235123,0.177479,0.151934
7,0.3675,0.4672,0.6073,0.4360,0.8609,0.9973,39.6624,0.00019239,inf,0.277601,0.314106,0.262735,0.273973,0.145922,0.261004,0.186021,0.151430
8,0.3577,0.4487,0.7161,0.5578,0.8321,0.9985,27.2097,0.00018819,inf,0.290630,0.328730,0.274483,0.282528,0.160278,0.283288,0.201036,0.151429
9,0.3479,0.4515,0.6892,0.5258,0.8044,0.9984,26.3045,0.00018315,0.890044,0.302144,0.344647,0.288959,0.291490,0.163626,0.310122,0.209038,0.152477
10,0.3439,0.4374,0.7160,0.5576,0.8567,0.9984,26.6762,0.00017730,0.948528,0.311009,0.356601,0.298631,0.294947,0.165809,0.333286,0.215554,0.158034
11,0.3355,0.4571,0.6942,0.5317,0.8118,0.9984,26.4393,0.00017071,inf,0.315881,0.370546,0.307420,0.304265,0.169173,0.352079,0.226636,0.150452
